faithfulness,answer_correctness,context_recall,context_precision,answer_relevancy,ROUGE-1,ROUGE-2,ROUGE-L,BLEU,Model
1,0.996770662,1,1,0.784477088,1,1,1,0.0675,MedCPT w GPT-4
1,0.246702451,1,1,0.813283629,1,1,1,0.061,MedCPT w GPT-4
0,0.2459969,1,1,0.866312778,1,1,1,0,MedCPT w GPT-4
1,0.231303363,1,1,0.845315382,0.1333,0,0.1333,0,MedCPT w GPT-4
1,0.491400882,1,1,0.781204994,0.4,0,0.4,0,MedCPT w GPT-4
0.5,0.205827731,0,0,0.776724463,0,0,0,0,MedCPT w GPT-4
1,0.192632808,1,1,0.771718017,0,0,0,0,MedCPT w GPT-4
1,0.20319806,0,1,0.822061984,0,0,0,0,MedCPT w GPT-4
0,0.218612726,0,1,0.825673125,0.3333,0,0.3333,0.0725,MedCPT w GPT-4
1,0.600786949,1,1,0.854919266,0.4615,0.3636,0.4615,0.0235,MedCPT w GPT-4
1,0.196122251,0,0,0.819809892,0.1667,0,0.1667,0,MedCPT w GPT-4
1,0.599777933,1,1,0.853884836,0.4615,0.3636,0.4615,0.057,MedCPT w GPT-4
1,0.989696794,1,1,0.791119483,0.7273,0.6667,0.7273,0,MedCPT w GPT-4
1,0.189947126,0,0,0,0,0,0,0,MedCPT w GPT-4
1,0.602832012,1,1,0.871683446,0.25,0,0.25,0,MedCPT w GPT-4
1,0.246543393,1,1,0.84113653,1,0,1,0,MedCPT w GPT-4
1,0.783897182,1,1,0.82828493,0.5,0.1429,0.375,0.0271,MedCPT w GPT-4
0.5,0.21044702,0,0,0.830754616,0,0,0,0,MedCPT w GPT-4
1,0.215419795,0,0,0.782809053,0,0,0,0,MedCPT w GPT-4
0,0.210888942,0,1,0.816971074,0,0,0,0,MedCPT w GPT-4
0.5,0.207331555,1,1,0.786499367,0,0,0,0,OpenAI based RAG
1,0.539549205,1,1,0.813283629,0.8571,0.8,0.8571,0.097,OpenAI based RAG
0,0.19973587,0,0,0,0,0,0,0,OpenAI based RAG
1,0.735549619,1,1,0.838203252,0.4615,0.3636,0.4615,0,OpenAI based RAG
0,0.190535145,0,0,0,0,0,0,0,OpenAI based RAG
0,0.221836086,1,1,0.85717818,0.6667,0.5,0.6667,0.1353,OpenAI based RAG
1,0.20242851,1,1,0.756550793,0.4,0,0.4,0.1129,OpenAI based RAG
1,0.197176942,0,1,0.884942988,0,0,0,0,OpenAI based RAG
0,0.216635337,0,0,0.815633222,0.1818,0,0.1818,0.0609,OpenAI based RAG
1,0.584247798,1,1,0.855555317,0,0,0,0,OpenAI based RAG
1,0.19603278,0,1,0.824082029,0.1667,0,0.1667,0,OpenAI based RAG
1,0.732206871,1,1,0.845856729,0.6,0.5,0.6,0.2182,OpenAI based RAG
1,0.246347301,1,1,0.779125089,1,1,1,0,OpenAI based RAG
1,0.748196969,1,1,0.756685837,0.8,0.75,0.8,0,OpenAI based RAG
0,0.202660187,1,1,0.948314498,0,0,0,0,OpenAI based RAG
1,0.214456373,1,1,0.807477403,0,0,0,0,OpenAI based RAG
1,0.191113727,0,1,0,0.1905,0.1053,0.1905,0.1348,OpenAI based RAG
0,0.46729475,0,1,0.877704393,0.08,0,0.08,0,OpenAI based RAG
1,0.201119742,0,0,0.803451269,0,0,0,0,OpenAI based RAG
0,0.210888942,0,1,0.816971074,0,0,0,0,OpenAI based RAG
0,0.226431404,0,0,0.81464811,0,0,0,0,GPT-4 only (no RAG)
0.5,0.235419812,0,0,0.813283629,0.8571,0.8,0.8571,0.0519,GPT-4 only (no RAG)
0,0.20136828,0,0,0.829416859,0,0,0,0,GPT-4 only (no RAG)
0,0.219898083,0,0,0.827234375,0,0,0,0,GPT-4 only (no RAG)
0,0.211484773,0,0,0.922933603,0,0,0,0,GPT-4 only (no RAG)
0,0.201369641,0,0,0.779687534,0,0,0,0,GPT-4 only (no RAG)
0,0.192561425,0,0,0.759571267,0,0,0,0,GPT-4 only (no RAG)
0,0.207082897,0,0,0.815198928,0,0,0,0,GPT-4 only (no RAG)
0,0.224653203,0,0,0.744308413,0.5,0,0.5,0.1353,GPT-4 only (no RAG)
0,0.201576273,0,0,0.811159607,0,0,0,0,GPT-4 only (no RAG)
0,0.182034393,0,0,0.773254273,0,0,0,0,GPT-4 only (no RAG)
0,0.192536831,0,0,0.725678266,0,0,0,0,GPT-4 only (no RAG)
0,0.224571735,0,0,0.7722911,0.4,0,0.4,0,GPT-4 only (no RAG)
0,0.188256296,0,0,0.800183004,0,0,0,0,GPT-4 only (no RAG)
0,0.208260771,0,0,0.826932873,0,0,0,0,GPT-4 only (no RAG)
0,0.246546574,0,0,0.840076498,1,0,1,0,GPT-4 only (no RAG)
0,0.973302833,0,0,0.813447668,0.4615,0.1818,0.4615,0,GPT-4 only (no RAG)
0,0.21044702,0,0,0.830754616,0,0,0,0,GPT-4 only (no RAG)
0,0.196133418,0,0,0.776937515,0,0,0,0,GPT-4 only (no RAG)
0,0.210888942,0,0,0.816898959,0,0,0,0,GPT-4 only (no RAG)
