Metric,Model,Shapiro-Wilk Statistic,P-Value
faithfulness,OpenAI based RAG,0.6500537991523743,1.018004786601523e-05
faithfulness,MedCPT w GPT-4,0.56878662109375,1.422162540620775e-06
answer_correctness,OpenAI based RAG,0.6783450245857239,2.1474656023201533e-05
answer_correctness,MedCPT w GPT-4,0.7347137331962585,0.00010664996079867706
context_recall,OpenAI based RAG,0.6374821662902832,7.3868864092219155e-06
context_recall,MedCPT w GPT-4,0.6264505386352539,5.604098078038078e-06
context_precision,OpenAI based RAG,0.4953945279121399,2.8887595249216247e-07
context_precision,MedCPT w GPT-4,0.5435627102851868,8.080334623628005e-07
answer_relevancy,OpenAI based RAG,0.5736992359161377,1.5913612969598034e-06
answer_relevancy,MedCPT w GPT-4,0.38362908363342285,3.3002539367998907e-08
ROUGE-1,OpenAI based RAG,0.7918348908424377,0.0006543881027027965
ROUGE-1,MedCPT w GPT-4,0.8295348286628723,0.002466432983055711
ROUGE-2,OpenAI based RAG,0.6718877553939819,1.8053880921797827e-05
ROUGE-2,MedCPT w GPT-4,0.6394693851470947,7.767707757011522e-06
ROUGE-L,OpenAI based RAG,0.7918348908424377,0.0006543881027027965
ROUGE-L,MedCPT w GPT-4,0.8231232166290283,0.0019521252252161503
BLEU,OpenAI based RAG,0.6479583978652954,9.645777026889846e-06
BLEU,MedCPT w GPT-4,0.6252213716506958,5.435829280031612e-06
